!I|NONE|NONE
!newmap|NONE|NONE
!tm2|324|979
ctf5_0.6|638|1967
ctf5_2|638|1967
ctf5_Candy|838|2587
ctf5_based|1020|3067
ctf5_ice_day|638|1967
ctf5_invis|638|1967
ctf5_rox|1154|3501
ctf5_teemo|641|1974
ctf6|525|1582
ctf7|258|780
ctf8|560|1734
ctfBigDesert|504|1579
ctfD5|350|1118
ctf_2011|476|1536
ctf_2moons|854|2655
ctf_41|696|2162
ctf_4virex|322|972
ctf_almost|824|2533
ctf_alpines|404|1257
ctf_ambiance|356|1091
ctf_anubisn|590|1838
ctf_bad|401|1308
ctf_bo|257|811
ctf_bomb1|498|1524
ctf_buker|375|1181
ctf_cavefight|1046|3203
ctf_cb1_4|282|852
ctf_classic4|276|888
ctf_climb|184|573
ctf_dawn|652|1970
ctf_deepshit|274|852
ctf_desert|248|758
ctf_desert1|254|780
ctf_desert_fall|534|1624
ctf_extent|464|1482
ctf_fall|320|1036
ctf_fastdm|262|780
ctf_flyro|469|1439
ctf_flyro_reworked|384|1232
ctf_fullmoon|308|984
ctf_gapWIP2|298|962
ctf_gartum|516|1608
ctf_glaciers|238|732
ctf_grasshopper_11|238|720
ctf_hex|556|1752
ctf_hightops|164|552
ctf_infiltrate|480|1488
ctf_infiltratev6|492|1524
ctf_inot1|632|1941
ctf_inot3|354|1046
ctf_jump|372|1180
ctf_lava|628|1968
ctf_maylug_01|382|1071
ctf_meat|326|1028
ctf_mesozoic|344|1056
ctf_mini|NONE|NONE
ctf_moon|180|576
ctf_mox|508|1571
ctf_narrow|270|828
ctf_ness|232|665
ctf_oasis|1041|3261
ctf_red_afternoon|304|960
ctf_sav|334|1072
ctf_sky|1289|3839
ctf_skyjungle|356|1019
ctf_slam12|178|540
ctf_slam9|178|540
ctf_space|308|1075
ctf_space2|308|984
ctf_space_lua|308|1075
ctf_stars|272|842
ctf_step|1620|4504
ctf_stony_world|674|1941
ctf_tantum|434|1334
ctf_tantum2|556|1734
ctf_tantum3|434|1334
ctf_tantum4|434|1334
ctf_tantum_beta|552|1710
ctf_the_one02|384|1237
ctf_thorns-no-weapons|780|2393
ctf_totem|220|676
ctf_trap|178|552
ctf_turn|644|1825
ctf_uno|412|1250
ctf_vertical_limit|554|1728
ctf_winter|248|758
ctf_zetman|292|912
ctfjungle|218|645
cube|NONE|NONE
dadle|354|1110
